qC	mC	cC	REFE
0	0	0x14EC1877	0x00000000
1	0	0x150389D0	0x00020000
2	0	0x16CDF70E	0x00000000
3	0	0x16D4348D	0x00020000
4	0	0x1831DA0D	0x00000000
5	0	0x183687E0	0x00020000
6	0	0x19489B6C	0x00000000
7	0	0x194D1A73	0x00020000
8	0	0x1A4B7233	0x00000000
9	0	0x1A4F8226	0x00020000
10	0	0x1B4D734E	0x00000000
11	0	0x1B51A715	0x00020000
12	0	0x1C5157DB	0x00000000
13	0	0x1C55843D	0x00020000
14	0	0x1D561ED5	0x00000000
15	0	0x1D5A52DF	0x00020000
16	0	0x1E602299	0x00000000
17	0	0x1E64710A	0x00020000
18	0	0x1F646082	0x00000000
19	0	0x1F689569	0x00020000
20	0	0x20676EAE	0x00000000
21	0	0x206B938E	0x00020000
22	0	0x216FEA5F	0x00000000
23	0	0x21743484	0x00020000
24	0	0x228488D9	0x00000000
25	0	0x228923DF	0x00020000
26	0	0x23A1CB57	0x00000000
27	0	0x23A64251	0x00020000
28	0	0x24AE49DC	0x00000000
29	0	0x24B27A12	0x00020000
30	0	0x25B3841F	0x00000000
31	0	0x25B81F64	0x00020000
32	0	0x26C62DDA	0x00000000
33	0	0x26CAB540	0x00020000
34	0	0x27E01E46	0x00000000
35	0	0x27E49985	0x00020000
36	0	0x2915D864	0x00000000
37	0	0x291AA934	0x00020000
38	0	0x2A3030CD	0x00000000
39	0	0x2A352153	0x00020000
40	0	0x2B5274F5	0x00000000
41	0	0x2B56FBCA	0x00020000
42	0	0x2C7C64D1	0x00000000
43	0	0x2C80E91C	0x00020000
44	0	0x2D8FB2D4	0x00000000
45	0	0x2D947FDB	0x00020000
46	0	0x2EA92B1B	0x00000000
47	0	0x2EADA628	0x00020000
48	0	0x2FCFECED	0x00000000
49	0	0x2FD4563B	0x00020000
50	0	0x30EC2FF4	0x00000000
51	0	0x30F0F1F2	0x00020000
52	0	0x32014A2C	0x00000000
53	0	0x32060681	0x00020000
54	0	0x332491CC	0x00000000
55	0	0x3328A65D	0x00020000
56	0	0x343654A9	0x00000000
57	0	0x343AF824	0x00020000
58	0	0x354975BB	0x00000000
59	0	0x354E524D	0x00020000
60	0	0x3663CFFA	0x00000000
61	0	0x3667ECF7	0x00020000
62	0	0x37784D71	0x00000000
63	0	0x377CC7DE	0x00020000
64	0	0x3886AD83	0x00000000
65	0	0x388B7531	0x00020000
66	0	0x399569AB	0x00000000
67	0	0x39999C82	0x00020000
68	0	0x3AAF63C1	0x00000000
69	0	0x3AB3B3A8	0x00020000
70	0	0x3BC1F3DE	0x00000000
71	0	0x3BC6C52A	0x00020000
72	0	0x3CCB1621	0x00000000
73	0	0x3CCF68B5	0x00020000
74	0	0x3DE39CC3	0x00000000
75	0	0x3DE7D5E9	0x00020000
76	0	0x3EFC274D	0x00000000
77	0	0x3F00E36A	0x00020000
78	0	0x40085B86	0x00000000
79	0	0x400D0A40	0x00020000
80	0	0x411FB2DD	0x00000000
